Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
"Brydges Out-Letter Book of 1st Duke of Chandos, ST 57, Vol. 18. "	"Chandos, James Brydges, Duke of, 1674-1744."	1720-1722	1720-1722	mssST 57 v. 18	"Copy book of outgoing letters by Brydges, James, 1st duke of Chandos."			Letters (correspondence) Great Britain. (aat) ; Letterbooks Great Britain. (aat) ; Manuscripts (documents) Great Britain 18th century. (aat)		"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	"Slavery and Abolition, Huntington Digital Library"			B. Black ; M. Einaudi	V. Wilkie			http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/903	http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:903/manifest.json		
front cover		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096265	mssST_57_v18_001.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/398		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:398/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/398/full/full/0/default.jpg
inside front cover		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096266	mssST_57_v18_002.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/399		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:399/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/399/full/full/0/default.jpg
flyleaf i recto		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096267	mssST_57_v18_003.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/400		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:400/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/400/full/full/0/default.jpg
flyleaf i verso		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096268	mssST_57_v18_004.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/401		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:401/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/401/full/full/0/default.jpg
flyleaf ii recto		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096269	mssST_57_v18_005.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/402		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:402/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/402/full/full/0/default.jpg
flyleaf ii verso		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096270	mssST_57_v18_006.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/403		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:403/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/403/full/full/0/default.jpg
index i		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096271	mssST_57_v18_007.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/404		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:404/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/404/full/full/0/default.jpg
index ii		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096272	mssST_57_v18_008.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/405		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:405/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/405/full/full/0/default.jpg
index iii		1720; 1721; 1722		"mssST 57, v. 18"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 18 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2020:09:25	B. Black ; M. Einaudi	V. Wilkie	1096273	mssST_57_v18_009.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/406		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:406/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/406/full/full/0/default.jpg
