Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
"Brydges Out-Letter Book of 1st Duke of Chandos, ST 57, Vol. 21. "	"Chandos, James Brydges, Duke of, 1674-1744."	1722-1723	"July 3, 1722 - Aug. 24, 1723"	"mssST 57, v. 21"	"Copy book of outgoing letters by Brydges, James, 1st duke of Chandos."			Letters (correspondence) Great Britain. (aat) ; Letterbooks Great Britain. (aat) ; Manuscripts (documents) Great Britain 18th century. (aat)		"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers			B. Black ; M. Einaudi	V. Wilkie			http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1589	http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1589/manifest.json		
front cover				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:34:46	B. Black ; M. Einaudi	V. Wilkie	1100104	mssST_57_v21_001.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1224		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1224/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1224/full/full/0/default.jpg
inside front cover				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:34:58	B. Black ; M. Einaudi	V. Wilkie	1100105	mssST_57_v21_002.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1225		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1225/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1225/full/full/0/default.jpg
flyleaf i recto				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:08	B. Black ; M. Einaudi	V. Wilkie	1100106	mssST_57_v21_003.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1226		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1226/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1226/full/full/0/default.jpg
flyleaf i verso				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:18	B. Black ; M. Einaudi	V. Wilkie	1100107	mssST_57_v21_004.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1227		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1227/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1227/full/full/0/default.jpg
flyleaf ii recto				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:28	B. Black ; M. Einaudi	V. Wilkie	1100108	mssST_57_v21_005.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1228		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1228/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1228/full/full/0/default.jpg
flyleaf ii verso				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:37	B. Black ; M. Einaudi	V. Wilkie	1100109	mssST_57_v21_006.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1229		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1229/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1229/full/full/0/default.jpg
p. 1			3 July 1722	"mssST 57, v. 21"	"Correspondent: Hill, Wm. & Hill, Peter (of Falmouth)"					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:47	B. Black ; M. Einaudi	V. Wilkie	1100110	mssST_57_v21_007.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1230		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1230/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1230/full/full/0/default.jpg
p. 2			3 July 1722	"mssST 57, v. 21"	"Correspondent: Mackworth, Sr Hump."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:35:58	B. Black ; M. Einaudi	V. Wilkie	1100111	mssST_57_v21_008.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1231		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1231/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1231/full/full/0/default.jpg
p. 3				"mssST 57, v. 21"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 21 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:10:24 15:36:08	B. Black ; M. Einaudi	V. Wilkie	1100112	mssST_57_v21_009.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1232		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1232/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1232/full/full/0/default.jpg
