ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Carolina Planter,https://portal.prizepapers.de/ship/prizepapers_ship_428b3f81-a361-49c8-a706-38cbd903ea86/1/-/,8c13399e-c1e5-4045-98d2-570a64b70923,"Henry White, master of the ship 'Carolina Planter', 1793",Bordeaux,The Channel,Hamburg,Journey interrupted by capture,[]
Henrica Jacoba,https://portal.prizepapers.de/ship/prizepapers_ship_76afe390-8d5c-441e-a648-0f581de54381/1/-/,efa2b3ac-729a-4b4d-904b-b1ce769a6192,"Henrick Reinders Nanta, master of the 'Henrica Jacoba' in 1806",Bordeaux,The Channel,Hamburg,Journey interrupted by capture,[]
Sea Nymph,https://portal.prizepapers.de/ship/prizepapers_ship_5046a45f-ee09-44d8-ad87-0c4163f1368e/1/-/,819ea8c7-65d1-4866-bbaa-0801881e6f64,"John Peden, master of the ship 'Sea Nymph', 1795",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
John,https://portal.prizepapers.de/ship/prizepapers_ship_75b6a497-17df-454e-ba12-4839db6b247f/1/-/,8a45fa42-0a90-42a9-acdd-f92686aca21f,"John Pollard, master of the ship 'John', 1794",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Success,https://portal.prizepapers.de/ship/prizepapers_ship_088c70f1-0a6b-44c2-9f5d-461687054eb4/1/-/,2cd6d034-57ac-4b83-86ce-03decb042d9d,"Benjamin Babcock, master of the ship 'Success', 1796",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_763bae4c-f252-46d5-87df-8c3b4750dd29/1/-/,3d7f13a4-8825-4d9a-8432-c9044fa8eff2,"John Logan, master of the 'Sally' in 1795-1798",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Fame,https://portal.prizepapers.de/ship/prizepapers_ship_8a968a2e-a45c-4f95-b9e2-74f25cb075e4/1/-/,fc6bf01c-0f43-4853-8e3a-de7fa5b8be1a,"William Flagg, master of the ship Fame,1795",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
John and Richard,https://portal.prizepapers.de/ship/prizepapers_ship_35bf303d-bf22-44b5-923a-1d50ed7c0fee/1/-/,53349bbb-3e43-46e2-966c-953aa12927cb,"Edmond Nowlan of Philadelphia, master of the ship 'John and Richard', 1800",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Diomede,https://portal.prizepapers.de/ship/prizepapers_ship_dab84be3-aa31-4bf9-9c28-f7359cd24f78/1/-/,5467f797-ba35-4299-af34-894cbf549b86,,Santo Domingo,Santo Domingo,Cape Nizao,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/2f830bd2-a692-425f-8387-5afdc7a8ae7f', 'HCA 45/57/28']]"
Zulema,https://portal.prizepapers.de/ship/prizepapers_ship_c6735076-95ae-4610-bab0-2f503c79122e/1/-/,9fe2301c-d1d9-4da2-b8b4-2f0ff8cc113b,"John Alften, master of the ship 'Zulema', 1805",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
