Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
p. 198		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096066	mssST_57_v17_204.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/203		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:203/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/203/full/full/0/default.jpg
p. 199		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096067	mssST_57_v17_205.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/204		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:204/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/204/full/full/0/default.jpg
p. 200		1719; 1720	1 Oct 1720 ; 5 Oct 1720	"mssST 57, v. 17"	Correspondents: Oakley (Cap't) ; Oakley (Cap't).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096068	mssST_57_v17_206.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/205		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:205/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/205/full/full/0/default.jpg
p. 201		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096069	mssST_57_v17_207.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/206		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:206/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/206/full/full/0/default.jpg
p. 202		1719; 1720	4 Oct 1720	"mssST 57, v. 17"	Correspondent: Henricks Mr.					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096070	mssST_57_v17_208.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/207		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:207/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/207/full/full/0/default.jpg
p. 203		1719; 1720	4 Oct 1720 ; 4 Oct 1720 ; 5 Oct 1720	"mssST 57, v. 17"	"Correspondents: Carnarvon (Marq's of) ; Westfaling, Herb'rud Esqr ; Henricks Mr."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096071	mssST_57_v17_209.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/208		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:208/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/208/full/full/0/default.jpg
p. 204		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096072	mssST_57_v17_210.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/209		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:209/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/209/full/full/0/default.jpg
p. 205		1719; 1720	4 Oct 1720	"mssST 57, v. 17"	Correspondent: Raymond (Sr Rob).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096073	mssST_57_v17_211.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/210		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:210/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/210/full/full/0/default.jpg
p. 206		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096074	mssST_57_v17_212.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/211		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:211/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/211/full/full/0/default.jpg
p. 207		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096075	mssST_57_v17_213.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/212		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:212/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/212/full/full/0/default.jpg
