Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
"Brydges Out-Letter Book of 1st Duke of Chandos, ST 57, Vol. 24. "	"Chandos, James Brydges, Duke of, 1674-1744."	1724	1724	"mssST 57, v. 24"	"Copy book of outgoing letters by Brydges, James, 1st duke of Chandos."			Letters (correspondence) Great Britain. (aat) ; Letterbooks Great Britain. (aat) ; Manuscripts (documents) Great Britain 18th century. (aat)		"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 24 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers			B. Black ; M. Einaudi	V. Wilkie			http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1961	http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1961/manifest.json		
front cover				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100469	mssST_57_v24_001.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1590		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1590/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1590/full/full/0/default.jpg
inside front cover				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100470	mssST_57_v24_002.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1591		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1591/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1591/full/full/0/default.jpg
flyleaf i recto				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100471	mssST_57_v24_003.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1592		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1592/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1592/full/full/0/default.jpg
flyleaf i verso				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100472	mssST_57_v24_004.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1593		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1593/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1593/full/full/0/default.jpg
flyleaf ii recto				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100473	mssST_57_v24_005.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1594		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1594/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1594/full/full/0/default.jpg
flyleaf ii verso				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100474	mssST_57_v24_006.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1595		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1595/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1595/full/full/0/default.jpg
p. 1			25 Mar 1724	"mssST 57, v. 24"	Correspondent: Nicoll (Mr).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100475	mssST_57_v24_007.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1596		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1596/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1596/full/full/0/default.jpg
p. 2				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100476	mssST_57_v24_008.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1597		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1597/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1597/full/full/0/default.jpg
p. 3				"mssST 57, v. 24"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 24 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:28	B. Black ; M. Einaudi	V. Wilkie	1100477	mssST_57_v24_009.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1598		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1598/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1598/full/full/0/default.jpg
