Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.1r,ND,Table of contents,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.1v,ND,Table of contents,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.2r,ND,Beginning of Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.2v,"2,9,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.3r,"2,9,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.3r,ND,Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.3v,"4,13,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.4r,"4,13,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.4v,"4,13,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.4v,"4,19,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.5r,"4,19,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.5r,"5,21,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.5v,"6,5,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.5v,"6,14,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.6r,"7,25,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.6r,"9,30,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.6v,"9,30,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.7r,"7,25,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.7v,"7,27,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.8r,"7,27,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.8v,"7,27,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.9r,"7,27,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.9v,"7,27,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.10r,"7,27,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.10v,"7,27,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.11r,"8,11,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.11v,"9,1,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.12r,"10,20,21",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.12v,"11,20,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.13r,"12,14,21",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.13v,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.14r,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.14v,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.15r,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.15v,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.16r,"1,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.16v,"1,25,22",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.17r,"3,2,22",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.17v,"7,13,22",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.18r,"7,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.18v,"7,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.19r,"7,25,22",Correspondence,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.19v,"7,25,22",Correspondence,
,,,,,
MS 25560,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441816.0x000001,f.20r,"7,31,22",Correspondence,
,,,,,
