Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.1r,No Date,Blank Page,"The following appear to be letters
 sent & received by South Sea Co."
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.1v,No Date,Note,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.2r,"12,16,14",Correspondence,*Date found at end of pages
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.2v,"12,16,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.3r,"12,16,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.3v,"12,16,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.4r,"12,16,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.4v,"12,16,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.5r,"12,16,14",Correspondence,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.5v,"12,16,14",Ship Listing,"*Date is assumed to be same 
as previous pages"
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.5v,"12,22,14",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.6r,"12,22,14",Correspondence,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.6r,"1,1,15",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.6v,"1,1,15",Correspondence,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.6v,"1,5,15",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.7r,"1,5,15",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.7v,"1,5,15",Correspondence,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.7v,"1,6,15",Correspondence,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.8r,"1,6,15",Correspondence,
,,,,,
MS 25555,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441576.0x000001,f.8r,"1,11,15",Correspondence,
,,,,,
