Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.1r,"1,31,33",Meeting Minutes,*Election of Sub Governor/ Govenor
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.1v,"1,31,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.2r,"1,31,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.2v,"2,2,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.3r,"2,2,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.3v,"2,5,33",Meeting Minutes,*Appointment of Committee Directors
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.4r,"2,5,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.4v,"2,5,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.5r,"2,5,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.5v,"3,22,33",Meeting Minutes,*Meetings take place every 2 to 4 months
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.6r,"3,22,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.6v,"3,22,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.7r,"3,22,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.7v,"3,22,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.8r,"3,22,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.8v,"4,17,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.9r,"4,17,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.9v,"4,17,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.10r,"4,17,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.10v,"4,17,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.11r,"4,17,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.11v,"5,9,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.12r,"5,9,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.12v,"5,9,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.13r,"5,25,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.13v,"5,25,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.14r,"5,25,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.14v,"6,6,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.15r,"6,6,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.15v,"6,6,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.16r,"6,6,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.16v,"6,6,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.17r,"6,20,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.17v,"6,20,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.18r,"6,20,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.18v,"7,24,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.19r,"7,24,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.19v,"7,24,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.20r,"7,24,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.20v,"7,26,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.21r,"7,26,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.21v,"8,2,33",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.22r,"8,2,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.22v,"9,28,33",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.23r,"1,25,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.23v,"1,25,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.24r,"1,25,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.24v,"1,25,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.25r,"2,20,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.25v,"2,20,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.26r,"2,20,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.26v,"2,20,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.27r,"3,12,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.27v,"3,12,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.28r,"3,19,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.28v,"3,19,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.29r,"3,29,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.29v,"3,29,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.30r,"3,29,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.30v,"4,10,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.31r,"4,10,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.31v,"4,10,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.32r,"7,23,34",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.32v,"7,23,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.33r,"9,27,34",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.33v,"1,29,35",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.34r,"1,29,35",Meeting Minutes,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.34v,"1,29,35",Meeting Minutes,
,,,,,
MS 25545,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441105.0x000001,f.35r,"3,20,35",Meeting Minutes,
