Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=12&xywh=1384%2C-4753%2C8079%2C10990,f.1r,"11,28,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=12&xywh=1384%2C-4753%2C8079%2C10990,f.1v,"11,28,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=12&xywh=1384%2C-4753%2C8079%2C10990,f.2r,"11,28,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=12&xywh=1384%2C-4753%2C8079%2C10990,f.2v,"11,28,23",Correspondence,
,,,,,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=15&xywh=-279%2C0%2C7201%2C9796,f.2v,"1,23,24",Correspondence,*Out of sequence
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=15&xywh=-279%2C0%2C7201%2C9796,f.3r,"1,23,24",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=15&xywh=-279%2C0%2C7201%2C9796,f.3v,"1,23,24",Correspondence,
,,,,, 
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.4r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.4v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.5r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.5v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.6r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.6v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.7r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.7v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.8r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.8v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.9r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.9v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.10r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.10v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.11r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.11v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=18&xywh=4417%2C-372%2C1996%2C7943,f.12r,"12,12,23",Correspondence,
,,,,,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.12v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.13r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.13v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.14r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.14v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.15r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.15v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.16r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.16v,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.17r,"12,12,23",Correspondence,
MS 25564,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442234.0x000001#?c=0&m=0&s=0&cv=35&xywh=2224%2C-2552%2C3335%2C12770,f.17v,"12,12,23",Correspondence,
