Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.1r,"2,16,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.1v,"2,16,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.1v,"2,7,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.2r,"2,7,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.2r,"2,8,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.2v,"2,8,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.3r,"2,10,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.3v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.4r,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.4v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.5r,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.5v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.6r,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.6v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.7r,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.7v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.8r,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.8v,"2,12,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.9r,"2,12,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.9v,"2,14,18",Meeting Minutes,
,,,,,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.10r,"2,19,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.10v,"2,19,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.11r,"2,19,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.11v,"2,19,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.12r,"2,19,18",Meeting Minutes,
MS 25498,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438574.0x000001,f.12v,"2,19,18",Meeting Minutes,
,,,,,
