Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.1r,"7,8,25",Correspondence,*Out of sequence
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.1v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.2r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.2v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.3r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.3v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.4r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.4v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.5r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.5v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.6r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.6v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.7r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.7v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.8r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.8v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.9r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.9v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.10r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.10v,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.11r,"7,8,25",Correspondence,
MS 25565,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442303.0x000001#?c=0&m=0&s=0&cv=12&xywh=0%2C-784%2C6397%2C11406,f.11v,"7,8,25",Correspondence,
