Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.1r,no date,Title Page,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.2r,no date,Description of Contents,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.3r,"3,13,12",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.3r,"7,17,13",Correspondence,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.3v,"7,17,13",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.3v,"7,17,13",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.3v,"9,25,13",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.4r,"10,5,13",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.4r,"2,11,14",Correspondence,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.4v,"2,11,14",Correspondence,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.5r,"2,11,14",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.5r,"2,5,14",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.5v,"2,18,14",Correspondence,
,,,,,
MS 25562,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442041.0x000001 ,f.5v,"3,3,14",Correspondence,
,,,,,
