Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.1r,*See Note,Meeting Minutes,Multiple dates with different entries
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.2r,*See Note,Meeting Minutes,Multiple dates with different entries
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.3r,"2,3,30",Meeting Minutes,Governors chosen / Oaths taken
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.3r,"2,12,30",Meeting Minutes,Director Listing
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.3v,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.4r,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.4v,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.5r,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.5v,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.6r,"2,13,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.6v,"2,13,30",Meeting Minutes,
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.7r,"2,17,30",Meeting Minutes,
,,,,,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.7r,"2,20,30",Meeting Minutes,
MS 25504,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443059.0x000001,f.7v,"2,20,30",Meeting Minutes,
