Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.1r,"2,1,27",Meeting Minutes,Elections
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.1v,"2,1,27",Meeting Minutes,Keys / Rules
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.2r,"2,1,27",Meeting Minutes,Loan / Subpenas 
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.2v,"2,1,27",Meeting Minutes,Customs / Memorials
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.3r,"2,1,27",Meeting Minutes,Petitions / Memorials / Other Applications
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.3v,"2,1,27",Meeting Minutes,Board of Trustees
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.4r,"2,1,27",Meeting Minutes,Fisheries / Prosections at Law
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.4v,"2,1,27",Meeting Minutes,Letters of Attorney
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.5r,"2,1,27",Meeting Minutes,Supra Cargoes / Admiralty
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.5v,"2,1,27",Meeting Minutes,Mr. Straford / Agent at Madrid
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.6r,"2,1,27",Meeting Minutes,Buenos Ayes Factory / Supra Cargoes
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.6v,"2,1,27",Meeting Minutes,House Council Appt / East India Co.
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.7r,"2,1,27",Meeting Minutes,Sales / Commitee for Buildings
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.7v,"2,1,27",Meeting Minutes,Committee of Accompts [sic] / House & Serv. / Lords Committee for Trade
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.8r,"2,1,27",Meeting Minutes,General Court / Royal George / Bank
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.8v,"2,1,27",Meeting Minutes,Cash / Hon. House of Comons [sic] / Stock Belonging to Company
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.9r,"2,1,27",Meeting Minutes,Comm. For Disposal of Friuts from Cuba / Arbitrations / Sloops
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.9v,"2,1,27",Meeting Minutes,Sir Wm. Con [sic?] Spanish Director/ Agents at Jamaica / Committee Of Buying
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.10r,"2,1,27",Meeting Minutes,R. African Company / His Excellency Mr. Stanhope / Bonds Sealed
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.10v,"2,1,27",Meeting Minutes,Accts. With the King of Spain / Trustees Reports on Claims
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.11r,"2,1,27",Meeting Minutes,Kingsale [sic?] Man of War
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.12r,"2,1,27",Meeting Minutes,Notes / Standing Orders
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.13r,"2,1,27",Meeting Minutes,Deputy chosen / Oath taken. Evening.
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.13r,"2,3,27",Meeting Minutes,Directors chosen / Oaths taken. Evening.
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.13r,"2,8,27",Meeting Minutes,Directors chosen / Oaths taken
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.13v,"2,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.14r,"2,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.14v,"2,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.15r,"2,9,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.15v,"2,16,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.16r,"2,16,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.16v,"2,16,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.17r,"2,23,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.17v,"2,23,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.18r,"2,23,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.18v,"2,23,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.19r,"3,2,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.19v,"3,2,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.20r,"3,8,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.20r,"3,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.20v,"3,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.21r,"3,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.21v,"3,9,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.22r,"3,9,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.22v,"3,16,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.23r,"3,16,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.23v,"3,23,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.24r,"3,23,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.24v,"3,23,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.25r,"3,30,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.25v,"3,30,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.26r,"3,30,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.26r,"4,6,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.26v,"4,6,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.27r,"4,13,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.27v,"4,13,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.28r,"4,18,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.28v,"4,22,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.29r,"4,22,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.29r,"4,27,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.29v,"4,27,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.30r,"4,27,27",Meeting Minutes,
,,,,,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.30v,"5,4,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.31r,"5,4,27",Meeting Minutes,
MS 25503,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439744.0x000001,f.31v,"5,4,27",Meeting Minutes,
