Shelfmark,UV URL,Page Label,Date,Type
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.22r,"2,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.22v,"2,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.23r,"2,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.23v,"2,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.24r,"2,14,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.24v,"2,21,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.25r,"2,21,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.25v,"2,21,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.25v,"2,28,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.26r,"2,28,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.26v,"2,28,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.27r,"2,28,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.27v,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.28r,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.28v,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.29r,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.29v,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.30r,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.30v,"3,7,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.31r,"3,7,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.31v,"3,12,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.32r,"3,12,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.32v,"3,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.33r,"3,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.33v,"3,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.34r,"3,14,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.34v,"3,14,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.34v,"3,19,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.35r,"3,19,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.35v,"3,19,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.36r,"3,19,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.36v,"3,19,23",Meeting Minutes
