Shelfmark,UV URL,Page Label,Date,Type,Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.14v,"3,25,21-12,24,31",Account of Interest Bond Payments,"date of document not listed, only dates of balances",,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.15r,"3,25,21-12,24,31",Account of Interest Bond Payments,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.15v,"3,25,21-12,24,31",Account of Interest Bond Payments,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.16r,"9,13,33",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.16v,"9,25,33",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.17r,"11,9,33",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.17v,"1,31,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.18r,"1,31,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.18v,"2,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.19r,"2,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.19v,"2,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.20r,"2,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.20v,"2,28,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.20v,"4,3,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.21r,"4,3,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.21r,"4,5,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.21v,"5,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.21v,"5,31,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.22r,"7,4,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.22v,"7,4,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.23r,"7,4,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.23r,"7,19,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.23v,"7,26,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.24r,"7,26,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.24v,"7,26,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.25r,"8,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.25r,"9,26,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.25v,"9,26,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.25v,"10,15,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.26r,"10,17,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.26r,"11,20,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.26v,"11,22,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.27r,"11,22,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
