Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.1r,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.1v,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.2r,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.2v,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.3r,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.3v,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.4r,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.4v,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.5r,"2,25,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.5v,"2,25,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.5v,"3,1,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.6r,"3,2,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.6v,"3,3,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.7r,"3,3,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.7v,"3,3,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.8r,"3,3,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.8v,"3,3,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.9r,"3,3,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.9v,"3,9,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.10r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.10v,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.11r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.11v,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.12r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.12v,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.13r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.13v,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.14r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.14v,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.15r,"3,10,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.15v,"3,10,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.16r,"3,15,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.16v,"3,15,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.17r,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.17v,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.18r,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.18v,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.19r,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.19v,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.20r,"3,17,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.20v,"3,17,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.21r,"3,23,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.21v,"3,23,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.22r,"3,23,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.22v,"3,24,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.23r,"3,24,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.23v,"3,24,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.24r,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.24v,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.25r,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.25v,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.26r,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.26v,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.27r,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.27v,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.28r,"3,31,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.28v,"3,31,32",Meeting Minutes,
,,,,,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.29r,"4,6,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.29v,"4,6,32",Meeting Minutes,
MS 25505,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182443341.0x000001,f.30r,"4,6,32",Meeting Minutes,
