Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.1r,"10,27,13",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.1v,"11,4,13",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.2r,"11,4,13",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.2r,"11,25,13",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.2v,"1,5,14",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.3r,"1,5,14",,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.3v,"1,19,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.4r,"1,20,14",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.4v,"1,20,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.5r,"1,26,14",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.5v,"1,26,14",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.6r,"1,26,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.6v,"1,28,14",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.7r,"1,28,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.7v,"2,19,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.8r,"4,8,14",Meeting Minutes,* 2 months since last meeting of Correspondence
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.8v,"7,20,14",Meeting Minutes,*3 months since last meeting of Correspondence
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.9r,"8,11,14",Meeting Minutes,*Year was written as 1711 instead of 1714
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.9v,"8,11,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.10r,"8,25,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.10v,"8,26,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.11r,"10,6,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.11v,"10,13,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.12r,"10,14,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.12v,"10,26,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.13r,"11,2,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.13v,"11,3,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.14r,"11,4,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.14v,"11,30,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.15r,"12,3,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.15r,"12,4,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.15v,"12,9,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.16r,"12,14,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.16v,"12,29,14",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.17r,"1,10,15",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.17v,"1,10,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.17ar,---,Blank Page,*Note page description has changed
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.17av,---,Blank Page,*Note page description has changed
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.18r,"3,1,15",Meeting Minutes,*2 months since last Correspondence meeting
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.18v,"3,1,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.19r,"3,2,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.19v,"3,3,15",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.20r,"3,3,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.20v,"3,8,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.21r,"3,9,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.21v,"3,10,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.22r,"3,30,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.22v,"4,20,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.23r,"4,21,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.23v,"4,27,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.24r,"4,28,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.24v,"5,4,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.25r,"5,10,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.25v,"5,18,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.26r,"5,20,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.26v,"5,26,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.27r,"6,1,15",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.27v,"6,1,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.28r,"6,3,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.28v,"6,16,15",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.29r,"6,16,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.29r,"6,23,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.29v,"7,14,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.30r,"8,4,15",Meeting Minutes,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.30v,"8,4,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.31r,"8,17,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.31v,"9,8,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.32r,"9,13,15",Meeting Minutes,
,,,,,
MS 25550,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441196.0x000001,f.32v,"9,15,15",Meeting Minutes,
,,,,,
