Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.1r,No Date,Misc. Index,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.2r,"1,31,21",Meeting Minutes,Election of Governors
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.2v,"2,1,21",Meeting Minutes,Voting of Governors
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.3r,"2,2,21",Meeting Minutes,Committee Appointment
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.3v,"2,2,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.4r,"2,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.4v,"2,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.5r,"2,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.5v,"2,9,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.5v,"3,9,21",Meeting Minutes,*1 month since last meeting
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.6r,"3,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.6v,"3,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.7r,"3,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.7v,"3,9,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.8r,"3,9,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.8r,"3,16,40",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.8v,"3,16,40",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.8v,"3,18,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.9r,"3,18,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.9v,"9,1,21",Meeting Minutes,* 6 months since last meeting
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.10r,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.10v,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.11r,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.11v,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.12r,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.12v,"9,1,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.13r,"9,1,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.13v,"12,7,21",Meeting Minutes,*3 months since last meeting
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.14r,"12,7,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.14v,"12,7,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.15r,"12,7,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.15v,"12,7,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.16r,"12,7,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.16r,"12,11,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.16r,"12,12,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.16v,"12,12,21",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.17r,"12,12,21",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.17r,"1,19,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.17v,"1,19,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.18r,"1,19,22",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.18v,"1,24,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.19r,"1,24,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.19v,"1,24,22",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.20r,"3,9,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.20v,"3,9,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.21r,"3,9,22",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.21r,"6,7,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.21v,"6,7,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.22r,"6,7,22",Meeting Minutes,
,,,,,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.22v,"6,19,22",Meeting Minutes,
MS 25544,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441023.0x000001,f.22r,"6,19,22",Meeting Minutes,
