Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.26r,"3,5,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.26v,"3,5,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.27r,"3,5,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.27v,"3,5,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.28r,"3,5,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.28v,"3,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.29r,"3,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.29v,"3,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.30r,"3,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.30v,"3,31,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.31r,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.31v,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.32r,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.32v,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.33r,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.33v,"6,18,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.34r,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.34v,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.35r,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.35v,"6,18,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.36r,"6,18,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.36v,"7,2,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.37r,"7,2,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.37v,"7,2,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.38r,"7,2,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.38v,"7,2,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.39r,"7,2,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.39v,"7,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.40r,"7,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.40v,"7,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.41r,"7,31,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.41v,"7,31,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.42r,"9,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.42v,"9,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.43r,"9,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.43v,"9,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.44r,"9,3,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.44v,"10,15,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.45r,"10,15,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.45v,"10,15,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.46r,"10,15,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.46v,"10,15,24",Instructions,
,,,,,
