VOYAGEID,OWNERA,CAPTAINA,CAPTAINB,CAPTAINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135348,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135349,"Bedford, C.","Elderkin, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135350,E.J. Hart & Co,"Fonrose, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135351,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135352,Bridge & Bro.,"Stevens, Leonard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135353,C. Bedford & Co.,"Murphy, J.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135354,Marsh & Ranlett,"Lewis, S.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135355,"Dobbin, L.","Heald, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135356,Hawthorn & Woods,"Haviland, James E.",Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135357,Marsh & Ranlett,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135358,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135359,C. Bedford & Co.,"Porter, Asa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135360,Marsh & Ranlett,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135361,C. Bedford & Co.,Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135362,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135363,Marsh & Ranlett,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135364,"Wickham, O.","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135365,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135366,"Kelsey, D.S.","Kelsey, D.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135367,Graham,"Graham, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135368,"Wickham, O.","Phillips, James D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135369,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135370,"Wickham, O.","Leach, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135371,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135372,Marsh & Ranlett,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135373,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135374,"Thompson, James E.","Thompson, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135375,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135376,Hawthorn & Woods,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135377,"Cochran, A.","Brower, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135378,Hawthorn & Woods,"Gates, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135379,Andrews & Dewey,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135380,E.J. Hart & Co.,"Thompson, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135381,"Hartt, H.G.",Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135382,Andrews & Dewey,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135383,"Wickham, O.","Hall, W.",Heald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135384,Barelli & Co.,"Coates, R.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135385,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135386,Andrews & Dewey,"Pittfield, O.U.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135387,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135388,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135389,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135390,Coats,"Coats, R.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135391,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135392,Drees,"Drees, A.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135393,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135394,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135395,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135396,Peter & Vansickle,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135397,A. Kearny & Co.,"Warfield, C.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135398,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135399,Hammond,"Hammond, J.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135400,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135401,J.P. Whitney & Co.,"Swiler, James Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135402,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135403,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135404,J.P. Whitney & Co.,Burnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135405,"Wickham, O.","Porter, Asa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135406,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135407,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135408,"Wickham, O.","Hall, W.",Heald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135409,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135410,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135411,Hawthorn & Woods,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135412,"Alexander, John","Dennis, George E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135413,Hawthorn & Woods,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135414,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135415,Hawthorn & Woods,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135416,"Wickham, O.","Tucker, J.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135417,Hawthorn & Woods,"Haviland, James E.","Daswell, J.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135418,Hawthorn & Woods,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135419,Hawthorn & Woods,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135420,Hawthorn & Woods,"Haviland, James E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135421,Harrison & Morgan,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135422,Harrison & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135423,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135424,"Wickham, O.",Rodfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135425,Harris & Morgan,"Wilson, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135426,Brower,"Brower, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135427,Harris & Morgan,"Wilson, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135428,"Wickham, O.","Heald, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135429,Harris & Morgan,"Moncrieff, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135430,Harris & Morgan,"Moncrieff, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135431,J.H. Blood & Co.,"Mue, J.S.",Uril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135432,"Dobbin, L.","Hoffman, John J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135433,Harris & Morgan,"Moncrieff, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135434,Harris & Morgan,"Moncrieff, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135435,Harris & Morgan,"Wilson, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135436,"Blossman, R.D.","Miller, C.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135437,"Wickham, O.","Heald, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135438,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135439,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135440,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135441,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135442,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135443,"Wickham, O.","Heald, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135444,Harris & Morgan,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135445,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135446,Harris & Morgan,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135447,Harris & Morgan,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135448,Bentinger,"Brentley, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135449,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135450,Harris & Morgan,"Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135451,Wilson,"Wilson, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135452,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135453,Harris & Morgan,"Place, Henry","Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135454,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135455,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135456,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135457,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135458,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135459,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135460,"Wickham, O.","Taber, T.W.",Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135461,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135462,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135463,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135464,Harris & Morgan,"Place, Henry","Crane, John R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135465,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135466,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135467,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135468,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135469,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135470,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135471,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135472,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135473,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135474,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135475,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135476,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135477,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135478,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135479,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135480,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135481,Harris & Morgan,"Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135482,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135483,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135484,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135485,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135486,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135487,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135488,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135489,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135490,Harris & Morgan,"Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135491,"Green, Harding & Co.",Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135492,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135493,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135494,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135495,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135496,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135497,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135498,Harris & Morgan,"Boehner, H.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135499,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135500,"Green, Harding & Co.",Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135501,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135502,Harris & Morgan,"Thompson, John S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135503,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135504,"Green, Harding & Co.",Emerson,"Young, J.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135505,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135506,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135507,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135508,"Green, Harding & Co.",Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135509,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135510,"Green, Harding & Co.","Webb, E.",Wehls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135511,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135512,"Green, Harding & Co.",Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135513,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135514,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135515,Harris & Morgan,Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135516,Harris & Morgan,"Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135517,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135518,Harris & Morgan,"Lawless, James",Lambert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135519,Harris & Morgan,"Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135520,Harris & Morgan,Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135521,"Armstrong, Harris & Co.",Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135522,Harris & Morgan,"Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135523,"Armstrong, Harris & Co.",Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135524,"Wickham, O.","Denslow, A.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135525,Harris & Morgan,Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135526,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135527,C.J. Meeker & Co.,Foote,Forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135528,"Armstrong, Harris & Co.",Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135529,Harris & Morgan,"Forbes, Thomas",Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135530,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135531,"Wickham, O.","Denslow, A.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135532,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135533,Harris & Morgan,"Thompson, John S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135534,"Wickham, O.","Denslow, A.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135535,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135536,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135537,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135538,Harris & Morgan,"Place, Henry",Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135539,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135540,"Wickham, O.","Taylor, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135541,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135542,"Wickham, O.","Denslow, A.D.",Deuston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135543,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135544,Duke,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135545,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135546,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135547,Harris & Morgan,"Forbes, Thomas",Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135548,Harris & Morgan,"Forbes, Thomas",Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135549,Harris & Morgan,"Place, Henry","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135550,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135551,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135552,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135553,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135554,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135555,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135556,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135557,Harris & Morgan,"Thompson, John S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135558,"Green, Harding & Co.","Talbot, William H.","Pittsfield, O.U.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135559,"Young, J.R.","Young, J.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135560,"Wickham, O.","Parker, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135561,Harris & Morgan,Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135562,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135563,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135564,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135565,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135566,"Wickham, O.","Tucker, J.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135567,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135568,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135569,"Green, Harding & Co.","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135570,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135571,Harris & Morgan,Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135572,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135573,"Green, Harding & Co.","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135574,Harris & Morgan,"Lawless, John","Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135575,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135576,"Wickham, O.","Rogers, J.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135577,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135578,"Green, Harding & Co.","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135579,Harris & Morgan,"Place, Henry","Thompson, John S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135580,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135581,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135582,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135583,"Green, Harding & Co.","Talbot, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135584,R.M. Harrison & Co.,"Eddy, Daniel B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135585,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135586,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135587,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135588,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135589,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135590,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135591,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135592,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135593,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135594,Harris & Morgan,"Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135595,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135596,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135597,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135598,Harris & Morgan,"Smith, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135599,Harris & Morgan,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135600,Harris & Morgan,"Place, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135601,H.L. Stone & Co.,"Arnet, Frederick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135602,Harris & Morgan,"Ducey, P.","Lawless, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135603,,"Forbes, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
