Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
p. 21			18 Mar 1721 ; 18 Mar 1721	"mssST 57, v. 19"	"Correspondents: Comyns, Sergt. ; Derham, Rev. Mr.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099383	mssST_57_v19_027.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/930		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:930/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/930/full/full/0/default.jpg
p. 22				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099384	mssST_57_v19_028.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/931		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:931/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/931/full/full/0/default.jpg
p. 23			20 Mar 1721 ; 21 Mar 1721	"mssST 57, v. 19"	"Correspondents: Slater, Mr ; Philips, Mr. Revel."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099385	mssST_57_v19_029.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/932		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:932/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/932/full/full/0/default.jpg
p. 24			22 Mar 1721	"mssST 57, v. 19"	"Correspondent: Eyles, Sir John."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099386	mssST_57_v19_030.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/933		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:933/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/933/full/full/0/default.jpg
p. 25				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099387	mssST_57_v19_031.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/934		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:934/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/934/full/full/0/default.jpg
p. 26				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099388	mssST_57_v19_032.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/935		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:935/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/935/full/full/0/default.jpg
p. 27				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099389	mssST_57_v19_033.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/936		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:936/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/936/full/full/0/default.jpg
p. 28				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099390	mssST_57_v19_034.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/937		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:937/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/937/full/full/0/default.jpg
p. 29				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099391	mssST_57_v19_035.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/938		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:938/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/938/full/full/0/default.jpg
p. 30				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099392	mssST_57_v19_036.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/939		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:939/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/939/full/full/0/default.jpg
p. 31			8 Apr 1721 ; 5 Apr 1721	"mssST 57, v. 19"	"Correspondents: Corwallis, Ld ; Parsons, Mr.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099393	mssST_57_v19_037.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/940		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:940/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/940/full/full/0/default.jpg
p. 32				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099394	mssST_57_v19_038.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/941		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:941/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/941/full/full/0/default.jpg
p. 33				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099395	mssST_57_v19_039.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/942		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:942/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/942/full/full/0/default.jpg
p. 34				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099396	mssST_57_v19_040.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/943		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:943/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/943/full/full/0/default.jpg
p. 35				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099397	mssST_57_v19_041.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/944		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:944/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/944/full/full/0/default.jpg
p. 36			15 Apr 1721	"mssST 57, v. 19"	"Correspondent: Dunbar, Col.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099398	mssST_57_v19_042.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/945		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:945/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/945/full/full/0/default.jpg
