VOYAGEID,ID,Captive name,Shipper,Owner A,Owner B,,,,,,,,,,,
135108,800094,Infant,,"Reed, Morgan James",,,,,,,,,,,,
135108,800095,Providence,,"Reed, James",,,,,,,,,,,,
135108,800096,Jessee,,"Blossman, S.",,,,,,,,,,,,
135108,800097,Kedar,,"Morgan, James",,,,,,,,,,,,
135108,800098,Squire,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800099,James,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800100,Ive,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800101,Milburn,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800102,Mary,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800103,Gilbert,"Byrons, J.S.C.",,,,,,,,,,,,,
135108,800104,Perry,"Byrons, J.S.C.",,,,,,,,,,,,,
136179,800105,Preston,,"Winston, John L.",,,,,,,,,,,,
136179,800106,John,,"Winston, John L.",,,,,,,,,,,,
136179,800107,Jonas,,"Winston, John L.",,,,,,,,,,,,
136179,800108,Sarah,,"Winston, John L.",,,,,,,,,,,,
136184,800109,Lucky,"Douglass, James C.",,,,,,,,,,,,,
136133,800110,Isaac,"Blearson, Joseph",,,,,,,,,,,,,
136133,800111,George,"Blearson, Joseph",,,,,,,,,,,,,
136133,800112,Malinda,"Blearson, Joseph",,,,,,,,,,,,,
136133,800113,Patience,"Blearson, Joseph",,,,,,,,,,,,,
136133,800114,David,"Blearson, Joseph",,,,,,,,,,,,,
136133,800115,Judah,"Blearson, Joseph",,,,,,,,,,,,,
136133,800116,Abraham,"Blearson, Joseph",,,,,,,,,,,,,
136133,800117,Moriah,"Blearson, Joseph",,,,,,,,,,,,,
136133,800118,Lucinda,"Blearson, Joseph",,,,,,,,,,,,,
136133,800119,Jessee,"Blearson, Joseph",,,,,,,,,,,,,
136133,800120,Lucky,"Blearson, Joseph",,,,,,,,,,,,,
136133,800121,Reuben,"Blearson, Joseph",,,,,,,,,,,,,
136133,800122,Charles,"Blearson, Joseph",,,,,,,,,,,,,
136133,800123,Lewis,"Blearson, Joseph",,,,,,,,,,,,,
136133,800124,Jack,"Blearson, Joseph",,,,,,,,,,,,,
136133,800125,Kitty,"Blearson, Joseph",,,,,,,,,,,,,
136133,800126,Beckky,"Blearson, Joseph",,,,,,,,,,,,,
136133,800127,Patty,"Blearson, Joseph",,,,,,,,,,,,,
136133,800128,Rachael,"Blearson, Joseph",,,,,,,,,,,,,
136133,800129,Betty,"Blearson, Joseph",,,,,,,,,,,,,
136133,800130,Franky,"Blearson, Joseph",,,,,,,,,,,,,
136133,800131,Patty,"Blearson, Joseph",,,,,,,,,,,,,
136133,800132,Ricky,"Blearson, Joseph",,,,,,,,,,,,,
136133,800133,Tom,"Blearson, Joseph",,,,,,,,,,,,,
136133,800134,Dicey,"Blearson, Joseph",,,,,,,,,,,,,
136133,800135,Liza,"Blearson, Joseph",,,,,,,,,,,,,
136133,800136,Maria,"Blearson, Joseph",,,,,,,,,,,,,
136133,800137,David,"Blearson, Joseph",,,,,,,,,,,,,
136133,800138,Mary,"Blearson, Joseph",,,,,,,,,,,,,
136133,800139,Lewis,"Blearson, Joseph",,,,,,,,,,,,,
136133,800140,William,"Blearson, Joseph",,,,,,,,,,,,,
136133,800141,Joe,"Blearson, Joseph",,,,,,,,,,,,,
136133,800142,Veney,"Blearson, Joseph",,,,,,,,,,,,,
136133,800143,Jim,"Blearson, Joseph",,,,,,,,,,,,,
136133,800144,Isaac,"Blearson, Joseph",,,,,,,,,,,,,
136133,800145,Sam,"Blearson, Joseph",,,,,,,,,,,,,
136133,800146,Amy,"Blearson, Joseph",,,,,,,,,,,,,
136133,800147,Bob,"Blearson, Joseph",,,,,,,,,,,,,
136133,800148,Mima,"Blearson, Joseph",,,,,,,,,,,,,
136133,800149,Richard,"Blearson, Joseph",,,,,,,,,,,,,
136177,800150,Jack,,"Maxey, Elisha",,,,,,,,,,,,
136177,800151,Jordan,,"Maxey, Elisha",,,,,,,,,,,,
136177,800152,Ramson,,"Maxey, Elisha",,,,,,,,,,,,
136177,800153,Orange,,"Maxey, Elisha",,,,,,,,,,,,
136177,800154,Ive,,"Maxey, Elisha",,,,,,,,,,,,
136177,800155,Mary,,"Maxey, Elisha",,,,,,,,,,,,
136177,800156,Elly,,"Maxey, Elisha",,,,,,,,,,,,
136177,800157,Adeline,,"Maxey, Elisha",,,,,,,,,,,,
136177,800158,Rosana,,"Maxey, Elisha",,,,,,,,,,,,
136177,800159,Huldy,,"Maxey, Elisha",,,,,,,,,,,,
136177,800160,Tammy,,"Maxey, Elisha",,,,,,,,,,,,
136177,800161,Julia,,"Maxey, Elisha",,,,,,,,,,,,
136177,800162,Emely,,"Maxey, Elisha",,,,,,,,,,,,
136177,800163,Lydia,,"Maxey, Elisha",,,,,,,,,,,,
136177,800164,Eliza,,"Maxey, Elisha",,,,,,,,,,,,
136120,800165,James,,"Ware, James",,,,,,,,,,,,
136120,800166,Absolem,,"Ware, James",,,,,,,,,,,,
136120,800167,Hannah,,"Ware, James",,,,,,,,,,,,
136120,800168,Rachel,,"Ware, James",,,,,,,,,,,,
136120,800169,Clarisa,,"Ware, James",,,,,,,,,,,,
136120,800170,Sophia,,"Ware, James",,,,,,,,,,,,
136120,800171,Sealy,,"Ware, James",,,,,,,,,,,,
136120,800172,Betsey,,"Ware, James",,,,,,,,,,,,
136120,800173,Spencer,,"Ware, James",,,,,,,,,,,,
136120,800174,Charity,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800175,Hanetty,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800176,Daniel,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800177,Danea,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800178,Anna,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800179,Harry,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800180,Lucy,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800181,James,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800182,Jack,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800183,Betta,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800184,Ann,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800185,Harriet,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800186,Matilda,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800187,Anderson,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800188,Richmond,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800189,Caroline,,"Hughs, James","Powel, John",,,,,,,,,,,
136120,800190,Venus,,"Faris, William A.",,,,,,,,,,,,
136120,800191,Amos,,"Ware, James",,,,,,,,,,,,
136120,800192,Thomas,,"Ware, James",,,,,,,,,,,,
136162,800193,George,,"Manlove, B.",,,,,,,,,,,,
136162,800194,James,,"Manlove, B.",,,,,,,,,,,,
136162,800195,Nat,,"Manlove, B.",,,,,,,,,,,,
136162,800196,Hakles,,"Manlove, B.",,,,,,,,,,,,
136162,800197,William,,"Manlove, B.",,,,,,,,,,,,
136162,800198,Jacob,,"Manlove, B.",,,,,,,,,,,,
136162,800199,Damsel,,"Manlove, B.",,,,,,,,,,,,
136162,800200,Thomas,,"Manlove, B.",,,,,,,,,,,,
136162,800201,Aimé,,"Manlove, B.",,,,,,,,,,,,
136162,800202,Aimé,,"Manlove, B.",,,,,,,,,,,,
136162,800203,Rebecca,,"Manlove, B.",,,,,,,,,,,,
136162,800204,Sarah,,"Manlove, B.",,,,,,,,,,,,
136162,800205,Rony,,"Manlove, B.",,,,,,,,,,,,
136162,800206,George,,"Manlove, B.",,,,,,,,,,,,
136162,800207,Harriet,,"Manlove, B.",,,,,,,,,,,,
136162,800208,Garrelson,,"Manlove, B.",,,,,,,,,,,,
136162,800209,Isabella,,"Manlove, B.",,,,,,,,,,,,
136162,800210,Bing,,"Manlove, B.",,,,,,,,,,,,
136162,800211,Abraham,,"Manlove, B.",,,,,,,,,,,,
136162,800212,William,,"Manlove, B.",,,,,,,,,,,,
136162,800213,Peter,,"Manlove, B.",,,,,,,,,,,,
136162,800214,Isaac,,"Manlove, B.",,,,,,,,,,,,
136162,800215,Samito,,"Manlove, B.",,,,,,,,,,,,
136162,800216,Frank,,"Manlove, B.",,,,,,,,,,,,
136162,800217,Samuel,,"Manlove, B.",,,,,,,,,,,,
136162,800218,Chloé,,"Manlove, B.",,,,,,,,,,,,
136162,800219,Rene,,"Manlove, B.",,,,,,,,,,,,
136162,800220,Pleason,,"Manlove, B.",,,,,,,,,,,,
136162,800221,Neal,,"Manlove, B.",,,,,,,,,,,,
136162,800222,James,,"Manlove, B.",,,,,,,,,,,,
136162,800223,Philis,,"Manlove, B.",,,,,,,,,,,,
136162,800224,Milly,,"Manlove, B.",,,,,,,,,,,,
136162,800225,Caroline,,"Manlove, B.",,,,,,,,,,,,
136162,800226,Elizabeth,,"Manlove, B.",,,,,,,,,,,,
136162,800227,Jane,,"Manlove, B.",,,,,,,,,,,,
136162,800228,Philis,,"Manlove, B.",,,,,,,,,,,,
136162,800229,Maria,,"Manlove, B.",,,,,,,,,,,,
136162,800230,Ronnie,,"Manlove, B.",,,,,,,,,,,,
136162,800231,John,,"Manlove, B.",,,,,,,,,,,,
136162,800232,Daniel,,"Manlove, B.",,,,,,,,,,,,
136135,800233,Thomas,,"West, Hector R.",,,,,,,,,,,,
136135,800234,James,,"West, Hector R.",,,,,,,,,,,,
136135,800235,Minna,,"West, Hector R.",,,,,,,,,,,,
136135,800236,Sally,,"West, Hector R.",,,,,,,,,,,,
136135,800237,Judith,,"West, Hector R.",,,,,,,,,,,,
136135,800238,Patsy,,"West, Hector R.",,,,,,,,,,,,
136149,800239,Alfred,,"Arnold, William",,,,,,,,,,,,
136149,800240,Matilda,,"Arnold, William",,,,,,,,,,,,
136149,800241,Eliza,,"Arnold, William",,,,,,,,,,,,
136121,800242,Adam,"Joseph, Thomas",,,,,,,,,,,,,
135109,800243,Mark,,"Ramsey, Martin D.",,,,,,,,,,,,
135109,800244,Hannah,,"Ramsey, Martin D.",,,,,,,,,,,,
135109,800245,Sarah,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800246,Loose,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800247,Moses,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800248,Austin,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800249,Davy,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800250,William,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800251,Arthur,,"Sundy, Joshua C.",,,,,,,,,,,,
135109,800252,Tom,,"Sundy, Joshua C.",,,,,,,,,,,,
135110,800253,Jane,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800254,Richale,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800255,Caroline,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800256,Bob,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800257,Stenven,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800258,Patrick,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800259,Mary,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800260,Mary,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800261,Maria,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800262,Marthie,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800263,Oston,,"Johnson, Jgs S.",,,,,,,,,,,,
135110,800264,Richard,,"Johnson, Jgs S.",,,,,,,,,,,,
135111,800265,Josippe,,"Rees, O.S.",,,,,,,,,,,,
135112,800266,Chatherine,,"Randolph, J.",,,,,,,,,,,,
135112,800267,Sarah,,"Randolph, J.",,,,,,,,,,,,
135113,800268,Ephraim,,"Darrington, J.",,,,,,,,,,,,
135113,800269,Isaac,,"Darrington, J.",,,,,,,,,,,,
135113,800270,Sylvie,,"Darrington, J.",,,,,,,,,,,,
135113,800271,Agaz,,"Darrington, J.",,,,,,,,,,,,
135113,800272,Moses,,"Darrington, J.",,,,,,,,,,,,
135114,800273,John,,"Bismuth, Henry S.",,,,,,,,,,,,
135114,800274,Thomas,,"Bismuth, Henry S.",,,,,,,,,,,,
135115,800275,Mary,,"Bardin, Warden",,,,,,,,,,,,
135115,800276,Hannah,,"Bardin, Warden",,,,,,,,,,,,
135115,800277,Richard Smith,,"Smith, Moses C.",,,,,,,,,,,,
135116,800278,Esther,,"Chuck, John",,,,,,,,,,,,
135117,800279,Viny,,"Erwin, F.R.",,,,,,,,,,,,
135118,800280,Thomas,,"McNair, James",,,,,,,,,,,,
135118,800281,Silvia,,"McNair, James",,,,,,,,,,,,
135119,800282,Henrietta,,"Gleason, Charles",,,,,,,,,,,,
135119,800283,Peter,,"Smith, Ash.",,,,,,,,,,,,
135119,800284,Roland,,"Smith, Ash.",,,,,,,,,,,,
