Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.1v,No Date,Index,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.2r,"6,26,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.2r,"7,3,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.2v,"7,3,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.2v,"7,8,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.3r,"7,8,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.3r,"7,10,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.3v,"7,10,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.4r,"7,15,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.4v,"7,15,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.4v,"7,17,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.5r,"7,17,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.5v,"7,24,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.6r,"7,31,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.6v,"7,31,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.6v,"9,4,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.7r,"9,23,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.7r,"9,25,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.7v,"10,2,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.7v,"10,9,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.8r,"10,9,29",Meeting Minutes,
,,,,,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.8r,"10,17,29",Meeting Minutes,
MS 25553,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441383.0x000001,f.8v,"10,17,29",Meeting Minutes,
,,,,,
