Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.1r,"2,23,27",Correspondence,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.1v,"2,23,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.1v,"2,23,27",Correspondence,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.2r,"2,23,27",Correspondence,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.2v,"2,23,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.2v,"2,23,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.3r,"2,23,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.3r,"3,1,27",Correspondence,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.3v,"3,1,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.3v,"3,3,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.4r,"3,6,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.4r,"3,30,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.4v,"4,18,27",Instructions,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.45r,"4,18,27",Instructions,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.5v,"4,18,27",Instructions,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.6r,"4,18,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.6v,"4,18,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.7r,"4,18,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.7v,"4,18,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.8r,"4,22,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.8r,"4,28,27",Correspondence,
,,,,,
MS 25566,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442379.0x000001,f.9r,"7,21,27",Correspondence,
,,,,,
