Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.1r,"1,31,33","Note regarding newly elected 
sub deputy govenors of SSC: 
Sir Richard Hopkins and John Bristow Esq. ",
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.1r,"2,1,33","Court of directors summons for 
newly elected sub deputy govs",
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.1v,"2,1,33","Court of directors summons for 
newly elected sub deputy govs",
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.1v,"2,5,33",New Govs sign oaths,"Samuel Bosanque Esq.
Mr Joshua Baker
Mr Jonathan Collyer
Mr Richard Coope
John Edwards
John Fullerton Esq.
Henry Gautier Esq.
John Hamilton Esq.
Edward Haistwell Esq.
Richard Howard Esq.
Richard Jackson Esq.
George Jennings Esq.
Sir John Lade Baronet
James Lambe Esq.
Mr Robert Lovick
Henry Muilman Esq.
John Phillipson Esq.
Mr Thomas Thomas
Lewis Way Esq.
Francis Wilks Esq.
Mr Pinckney Wilkinson"
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.2r,"2,5,33",New Govs sign oaths,
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.2r,"2,9,33","Second instintuional directors of 
SSC sworn in","Joseph Fawthrop Esq., 
Mr Robert Mainwaring
Robert Henley Esq., John South Esq."
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.2r,"2,9,33","Second instintuional directors of 
SSC sworn in","John Girard of de Fillieux Esq. 
Michael Impey Esq.
Mr Howard"
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.2v,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.3r,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.3v,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.4r,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.4v,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.5r,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.5v,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.6r,"2,9,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.6v,"2,9,33",Meeting Minutes ,
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.7r,"2,16,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.7v,"2,16,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.8r,"2,16,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.8v,"2,16,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.9r,"2,16,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.9v,"2,16,33",Meeting Minutes ,
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.9v,"2,16,33","Mr. Joseph Beachcroft Esq. 
chosen as director",
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.10r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.10v,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.11r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.11v,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.12r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.12v,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.13r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.13v,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.14r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.14v,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.15r,"2,23,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.15v,"2,23,33",Meeting Minutes ,
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.16r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.16v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.17r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.17v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.18r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.18v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.19r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.19v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.20r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.20v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.21r,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.21v,"3,2,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.22r,"3,2,33",Meeting Minutes ,
,,,,,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.22v,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.23r,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.23v,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.24r,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.24v,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.25r,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.25v,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.26r,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.26v,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.27r,"3,6,33",Meeting Minutes ,
MS 25506,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439966.0x000001,f.27v,"3,6,33",Meeting Minutes ,
