Shelfmark,UV URL,Page Label,Date,Type,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.46v,"6,18,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.47r,"6,18,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.47v,"6,18,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.48r,"6,25,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.48v,"6,25,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.49r,"6,25,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.49v,"6,25,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.50r,"7,2,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.50v,"7,2,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.51r,"7,2,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.51v,"7,2,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.51v,"7,9,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.52r,"7,9,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.52v,"7,9,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.53r,"7,9,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.53v,"7,9,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.54r,"7,16,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.54v,"7,16,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.55r,"7,16,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.55v,"7,16,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.56r,"7,16,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.56r,"7,23,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.56v,"7,23,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.57r,"7,23,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.57v,"7,30,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.58r,"7,30,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.58v,"7,30,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.59r,"7,30,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.59v,"7,30,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.59v,"8,6,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.60r,"8,6,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.60v,"8,6,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.61r,"8,6,24",Meeting Minutes,
,,,,,
