Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.1r,"6,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.1v,"6,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.2r,"6,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.2v,"6,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.3r,"6,23,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.3v,"6,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.4r,"6,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.4v,"6,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.5r,"6,30,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.5v,"7,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.6r,"7,5,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.6v,"7,7,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.7r,"7,7,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.7v,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.8r,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.8v,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.9r,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.9v,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.10r,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.10v,"7,8,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.11r,"7,8,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.11v,"7,13,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.12r,"7,13,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.12v,"7,13,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.13r,"7,15,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.13v,"7,15,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.14r,"7,15,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.14v,"7,15,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.15r,"7,15,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.15v,"7,15,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.16r,"7,19,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.16v,"7,21,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.17r,"7,21,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.17v,"7,21,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.18r,"7,21,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.18v,"7,28,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.19r,"7,28,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.19v,"7,28,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.20r,"7,28,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.20v,"7,28,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.21r,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.21v,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.22r,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.22v,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.23r,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.23v,"8,5,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.24r,"8,5,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.24v,"8,10,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.25r,"8,10,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.25v,"8,10,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.26r,"8,10,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.26v,"8,11,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.27r,"8,11,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.27v,"8,11,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.28r,"8,11,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.28v,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.29r,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.29v,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.30r,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.30v,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.31r,"9,23,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.31v,"9,23,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.32r,"9,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.32v,"9,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.33r,"9,30,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.33v,"9,30,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.34r,"10,7,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.34v,"10,7,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.35r,"10,7,37",Meeting Minutes,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.35v,"10,7,37",Meeting Minutes,
,,,,,
MS 25509,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182440537.0x000001,f.36r,"10,12,37",Meeting Minutes,
