Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.1r,n/d,Seal,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.2r,"1,18,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.2r,"1,23,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.2v,"1,29,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.2v,"2,6,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.3r,"2,20,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.3v,"2,20,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.4r,"2,20,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.4v,"2,20,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.5r,"4,3,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.5v,"4,3,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.6r,"4,3,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.6v,"4,3,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.7r,"4,3,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.7r,"5,3,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.7v,"5,17,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.8r,"5,17,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.8r,"6,26,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.8v,"6,26,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.9r,"6,26,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.9v,"6,26,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.9v,"7,5,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.10r,"7,5,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.10v,"5,10,28",Letters of Correspondence,*date different than start
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.11r,"7,11,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.11r,"7,12,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.11r,"7,12,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.11v,"7,25,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.11v,"8,1,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.12r,"8,1,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.12v,"8,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.12v,"8,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.13r,"8,2,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.13r,"8,6,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.13v,"8,6,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.13v,"8,9,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.14r,"8,7,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.14r,"8,22,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.14v,"8,22,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.15r,"9,5,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.15v,"9,5,28",Letters of Correspondence,
,,,,,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.15v,"9,2,28",Letters of Correspondence,*objection/answer
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.16r,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.16v,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.17r,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.17v,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.18r,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.18v,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.19r,"9,2,28",Letters of Correspondence,
MS 25557,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441720.0x000001,f.19v,"9,2,28",Letters of Correspondence,
