Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.1r,"2,2,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.1r,"2,5,33",Letters of Correspondence,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.1v,"2,5,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.1v,"2,10,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.2r,"2,14,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.2v,"2,17,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.2v,"2,21,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.3r,"2,22,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.3r,"3,2,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.3v,"3,3,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.3v,"3,9,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.4r,"3,14,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.4r,"3,16,33",Letters of Correspondence,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.4v,"3,16,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.4v,"3,24,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.5r,"3,30,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.5r,"4,19,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.5v,"5,4,33",Letters of Correspondence,
,,,,,
MS 25558,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441774.0x000001,f.5v,"5,5,33",Letters of Correspondence,
,,,,,
