Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.1r,"3,17,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.1v,"3,17,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.2r,"3,24,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.2v,"3,24,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.3r,"3,25,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.3v,"3,31,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.4r,"3,31,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.4v,"4,7,20",Meeting Minnutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.5r,"4,7,20",Meeting Minnutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.5v,"4,7,20 (Afternoon)",Meeting Minnutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.6r,"4,7,20 (Afternoon)",Meeting Minnutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.6v,"4,7,20 (Afternoon)",Meeting Minnutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.7r,"4,11,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.7v,"4,11,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.8r,"4,12,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.8v,"4,13,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.9r,"4,14,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.9v,"4,21,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.10r,"4,21,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.10v,"4,21,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.11r,"4,28,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.11v,"4,28,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.12r,"4,28,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.12v,"4,29,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.13r,"4,29,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.13v,"5,3,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.14r,"5,3,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.14v,"5,6,20",Meeting Minutes,
,,,,,
MS25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.15r,"5,12,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.15v,"5,13,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.16r,"5,17,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.16v,"5,17,20",Meeting Minutes,
,,,,,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.17r,"5,19,20",Meeting Minutes,
MS 25499,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182438969.0x000001,f.17v,"5,19,20",Meeting Minutes,
