Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=12&xywh=-3294%2C0%2C13027%2C9904,f.1r,"1,24,17",Correspondence,"From Director of South Sea Company
 to Directors of British African Company 
at Buenos Aries"
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=13&xywh=-1%2C-9527%2C6541%2C28873,f.1v,"1,24,17",Correspondence,Need to double check its: 1717
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=14&xywh=0%2C-9262%2C6439%2C28427,f.2r,"1,24,17",Correspondence,
,,,,,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=15&xywh=0%2C-9602%2C6574%2C29023,f.2v,"1,31,17",Correspondence,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=15&xywh=0%2C-9602%2C6574%2C29023,f.3r,"1,31,17",Correspondence,
,,,,,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=15&xywh=0%2C-9602%2C6574%2C29023,f.3r,"2,6,17",Correspondence,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=17&xywh=-281%2C-11016%2C7215%2C31851,f.3v,"2,6,17",Correspondence,
,,,,,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=17&xywh=-281%2C-11016%2C7215%2C31851,f.3v,"2,6,17",Correspondence,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=19&xywh=0%2C-8769%2C6574%2C27357,f.4r,"2,6,17",Correspondence,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=19&xywh=-3171%2C0%2C12916%2C9819,f.4v,"2,6,17",Correspondence,
MS 25563,https://access.bl.uk/item/viewer/ark:/81055/vdc_100182442140.0x000001#?c=0&m=0&s=0&cv=19&xywh=-3171%2C0%2C12916%2C9819,f.5r,"2,6,17",Correspondence,
