id	hash	name	lat	long	value	location_type_id	parent_id	spatial_extent_id
169	65df73efd8d04ed6a5430abd299fad83	Leiria	-8.807683	39.7495331	10224	3	11	NULL
170	c327410b98324c09b15c9a3beeca6763	Lugo	-7.5567582	43.0097384	10225	3	11	NULL
171	6365330bf4cc4e1f9278926debb14f3f	Mouraz	-8.0685791	40.4768706	10226	3	11	NULL
172	13ad220d02084bde86828980c8604ca9	?bidos	-9.1582014	39.3604212	10227	3	11	NULL
173	46db386cc1484c4b8bbbba4e77915b47	Ribadeo	-7.0403489	43.5336794	10228	3	11	NULL
174	1155cf8dd225486790b89cb1dd5ca88b	Porto	-8.6291053	41.1579438	10229	3	11	NULL
175	2160f2fbf949478d82a07aeb7d4e787b	Our?m	-8.4590077	39.7306188	10230	3	11	NULL
176	5644992b1c97456a802fa2e5f29eaaa3	Freixo	-8.5873273	41.6598811	10231	3	11	NULL
177	40f382c54a7c42f4a85ad0fb922c0a2b	villa cova	-8.7090931	41.5458502	10232	3	11	NULL
178	a924a6e34d664e17b4c55f5695b2ed36	Santar?m	-8.6860119	39.2366618	10233	3	11	NULL
179	b517198b425d43c5b474e9686fb5bebc	S?o Martinho da G?ndara	-8.533553	40.8572521	10234	3	11	NULL
180	ee4eb3674d40472b940b4c64faf0fe31	Ilha de S?o Miguel, A?ores	-25.4970466	37.780411	10235	3	11	NULL
181	af42e3fabf4d4980a030c71f626f34c7	Sao Pedro lomar, Braga	-8.4273653	41.5285785	10236	3	11	NULL
182	8769c76f6a5e4c1c817db624f14a5195	Sintra	-9.3816589	38.8028687	10237	3	11	NULL
183	ba0deb5bffda4190bf7b5376fc970409	Tavira	-7.6430019	37.1335906	10238	3	11	NULL
184	83f49bccc05b4a71b04b0520956f866c	Vila Nova de Gaia	-8.6139947	41.1220537	10239	3	11	NULL
185	21f39b424aba43a499febef9d69593cf	Viseu	-7.9124712	40.6565861	10242	3	11	NULL
186	ff520df341534caa995371ad68c8759e	Vila Nova	-7.1403598	41.0822466	10244	3	11	NULL
