Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,HUNT. JPG Descriptors,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,
mssST15v17,f.5v,"2,15,1720",Journal Entry,Dr. Defaqulier ,mssST_57_v17_018.jpg,mssST_57_v17_018.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/17/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.6r,"2,15,1720",Journal Entry,Mr Huggins,mssST_57_v17_019.jpg,mssST_57_v17_019.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/18/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.6v,"2,18,1720",Journal Entry,Mr Hammond,mssST_57_v17_020.jpg,mssST_57_v17_020.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/19/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.6v,"2,18,1720",Journal Entry,Mr Drummond,mssST_57_v17_020.jpg,mssST_57_v17_020.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/19/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.7r,"2,18,1720",Journal Entry,Mr Drummond,mssST_57_v17_021.jpg,mssST_57_v17_021.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/20/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.7v,"2,18,1720",Journal Entry,Mr Drummond,mssST_57_v17_022.jpg,mssST_57_v17_022.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/21/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.7v,"2,18,1720",Journal Entry,Mrs Nelthorpe,mssST_57_v17_022.jpg,mssST_57_v17_022.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/21/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.8r,"2,18,1720",Journal Entry,Mrs Nelthorpe,mssST_57_v17_023.jpg,mssST_57_v17_023.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/22/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.8r,"2,18,1720",Journal Entry,Mr Pels,mssST_57_v17_023.jpg,mssST_57_v17_023.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/22/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.8r,"2,18,1720",Journal Entry,Capt. Herring,mssST_57_v17_023.jpg,mssST_57_v17_023.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/22/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.8v,"2,18,1720",Journal Entry,Capt. Herring,mssST_57_v17_024.jpg,mssST_57_v17_024.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/23/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.8v,"2,20,1720",Journal Entry,"Capt. Herring 
""to the same""",mssST_57_v17_024.jpg,mssST_57_v17_024.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/23/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.9r,"2,20,1720",Journal Entry,"Capt. Herring 
""to the same""",mssST_57_v17_025.jpg,mssST_57_v17_025.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/24/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.9v,"2,20,1720",Journal Entry,"Capt. Herring 
""to the same""",mssST_57_v17_026.jpg,mssST_57_v17_026.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/25/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.9v,"2,19,1720",Journal Entry,Mr Cautillon,mssST_57_v17_026.jpg,mssST_57_v17_026.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/25/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.10r,"2,19,1720",Journal Entry,Mr Cautillon,mssST_57_v17_027.jpg,mssST_57_v17_027.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/26/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.10r,"2,21,1720",Journal Entry,Lord Lansdown,mssST_57_v17_027.jpg,mssST_57_v17_027.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/26/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.10v,"2,21,1720",Journal Entry,Lord Lansdown,mssST_57_v17_028.jpg,mssST_57_v17_028.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/27/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.10v,"2,21,1720",Journal Entry,General Hamerstein,mssST_57_v17_028.jpg,mssST_57_v17_028.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/27/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.11r,"2,21,1720",Journal Entry,General Hamerstein,mssST_57_v17_029.jpg,mssST_57_v17_029.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/28/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
