Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Stevenson,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Sr Theo Janson,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Jacomb,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Mead Paymaster,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Mead Paymaster,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Taylor,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Matthew Decker,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.6v,"3,18,1720",Journal Entry,Mr Matthew Decker,mssST_57_v18_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/423/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6v,"3,18,1720",Journal Entry,Mr Plumtree,mssST_57_v18_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/423/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6v,"3,18,1720",Journal Entry,Sir Hungerf. Hoskins,mssST_57_v18_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/423/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6v,"3,18,1720",Journal Entry,E. of Berkly,mssST_57_v18_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/423/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.7r,"3,18,1720",Journal Entry,Mr Lane,mssST_57_v18_027.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/424/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.7v,"3,18,1720",Journal Entry,Mr Lane,mssST_57_v18_028.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/425/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.7v,"3,18,1720",Journal Entry,Mr Pitts,mssST_57_v18_028.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/425/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.7v,"3,18,1720",Journal Entry,Mr Todrell,mssST_57_v18_028.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/425/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.8r,"3,18,1720",Journal Entry,E. of Westmorland,mssST_57_v18_029.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/426/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.8r,"3,28,1720",Journal Entry,Mons. Mehmet,mssST_57_v18_029.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/426/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.8r,"3,21,1720",Journal Entry,Mr Gibson,mssST_57_v18_029.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/426/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.8v,"3,21,1720",Journal Entry,Mr Gibson,mssST_57_v18_030.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/427/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.8v,"3,21,1720",Journal Entry,Dr Levitt,mssST_57_v18_030.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/427/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.9r,"3,21,1720",Journal Entry,Hart,mssST_57_v18_031.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/428/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.9r,"3,21,1720",Journal Entry,Lumley,mssST_57_v18_031.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/428/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.9r,"3,21,1720",Journal Entry,Benson,mssST_57_v18_031.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/428/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.9v,"3,21,1720",Journal Entry,Westfaling,mssST_57_v18_032.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/429/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.9v,"3,28,1720",Journal Entry,Pels Fits,mssST_57_v18_032.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/429/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.10r,"3,28,1720",Journal Entry,Pels Fits,mssST_57_v18_033.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/430/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.10r,"3,29,1720",Journal Entry,Duchess of Bolton,mssST_57_v18_033.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/430/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.10r,"3,29,1720",Journal Entry,Hammond,mssST_57_v18_033.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/430/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.10v,"3,29,1720",Journal Entry,Hammond,mssST_57_v18_034.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/431/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
