Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v21,f.10r,"7,10,1722",Letter,Mr. Parson,mssST_57_v21_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1248/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.10r,"7,10,1722",Journal Entry,L. Par of Hereford ,mssST_57_v21_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1248/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.11v,"7,10,1722",Journal Entry,L. Par of Hereford ,mssST_57_v21_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1249/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.11v,"7,10,1722",Letter,Mr. Mollyneus,mssST_57_v21_026.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1249/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.11r,"7,10,1722",Letter,Mr. Harrison of Bridgeioates,mssST_57_v21_027.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1250/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.12v,"7,10,1722",Letter,Mr. Payn,mssST_57_v21_028.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1251/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.12v,"7,10,1722",Letter,Lou Brydges  ,mssST_57_v21_028.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1251/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.12r,"7,10,1722",Letter,NV. Pels & Son,mssST_57_v21_029.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1252/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.13v,"7,10,1722",Letter,Mr. Grosvner,mssST_57_v21_030.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1253/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.13v,"7,14,1722",Letter,Messrs. Wm. & Peter Hill,mssST_57_v21_030.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1253/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.13r,"7,14,1722",Letter,Messrs. Wm. & Peter Hill,mssST_57_v21_031.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1254/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.14v,"7,14,1722",Letter,Messrs. Wm. & Peter Hill,mssST_57_v21_032.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1255/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.14v,"7,14,1722",Letter,Mr. Lynn,mssST_57_v21_032.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1255/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.14r,"7,14,1722",Letter,Mr. Lynn,mssST_57_v21_033.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1256/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.15v,"7,14,1722",Letter,Mr. Lynn,mssST_57_v21_034.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1257/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.15v,"7,19,1722",Letter,Monsieur Bernard,mssST_57_v21_034.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1257/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.15r,"7,19,1722",Letter,Monsieur Bernard,mssST_57_v21_035.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1258/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.16v,"7,19,1722",Letter,Monsieur Bernard,mssST_57_v21_036.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1259/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.16v,"7,21,1722",Letter,Mr. Arburtnott  ,mssST_57_v21_036.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1259/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.16r,"7,21,1722",Letter,Le Chevalier Bernard,mssST_57_v21_037.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1260/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.17v,"7,22,1722",Letter,Duke of Berwick,mssST_57_v21_038.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1261/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.17v,"7,22,1722",Letter,Marq. of Carnawon,mssST_57_v21_038.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1261/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.17r,"7,22,1722",Letter,Marq. of Carnawon,mssST_57_v21_039.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1262/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.18v,"7,22,1722",Letter,Marq. of Carnawon,mssST_57_v21_040.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1263/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.18v,"7,22,1722",Letter,Messers Cantillon & Hughs,mssST_57_v21_040.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1263/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.18r,"7,23,1722",Letter,Mr. Price of Knighton,mssST_57_v21_041.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1264/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.19v,"7,23,1722",Letter,Mr. Price of Knighton,mssST_57_v21_042.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1265/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.19v,"7,24,1722",Letter,Mr. Clayton,mssST_57_v21_042.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1265/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.19r,"7,24,1722",Letter,Mr. Clayton,mssST_57_v21_043.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1266/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.19r,"8,11,1722",Letter,Count Bothmar,mssST_57_v21_043.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1266/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.20v,"8,11,1722",Letter,Mr. Medeagl ,mssST_57_v21_044.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1267/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.20v,"8,11,1722",Letter,Mr. Zollicoffre,mssST_57_v21_044.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1267/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.20r,"8,11,1722",Letter,Mr. Zollicoffre,mssST_57_v21_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1268/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.20r,"8,11,1722",Letter,Brig Warring,mssST_57_v21_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1268/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.21v,"8,16,1722",Letter,Mr. Lane,mssST_57_v21_046.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1269/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.21v,"8,16,1722",Letter,Mr. Peseod ,mssST_57_v21_046.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1269/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.21r,"8,16,1722",Letter,Mr. Peseod ,mssST_57_v21_047.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1270/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.21r,"8,17,1722",Letter,Woodhouse,mssST_57_v21_047.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1270/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.22v,"8,17,1722",Letter,Woodhouse,mssST_57_v21_048.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1271/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.22v,"8,19,1722",Letter,Cou Philpott ,mssST_57_v21_048.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1271/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.22v,"8,20,1722",Letter,Call Purcell ,mssST_57_v21_048.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1271/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.22r,"8,20,1722",Letter,,mssST_57_v21_049.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1272/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.22r,"9,3,1722",Letter,Mr. Witherston,mssST_57_v21_049.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1272/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
